,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
45,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.8,0.15,0.3,False,1,True,valid,-1.4166865,u,none,l2,0.0,20260810_214226_788084
0,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.35,0.05,0.45,False,1,True,valid,-1.4167329,u,none,l2,0.0,20260810_205757_867270
136,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.85,0.15,0.25,False,1,True,valid,-1.4167887,u,none,l2,0.0,20260810_231037_314682
99,k_clusters,global_smoothing,6654,0.22,1,0.3,0.6,0.55,0.0,0.0,0.0,True,1,True,valid,-1.417048,u,none,l2,0.0,20260810_223440_378353
26,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.85,0.25,0.35,False,1,True,valid,-1.4170516,u,none,l2,0.0,20260810_212348_236322
148,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.85,0.15,0.15,False,1,True,valid,-1.4170529,u,none,l1,0.0,20260810_232219_511770
127,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.55,0.05,0.25,False,1,True,valid,-1.4171948,u,none,l2,0.0,20260810_230153_837285
54,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.55,0.25,0.25,False,1,True,valid,-1.4175531,u,none,l1,0.0,20260810_215039_579347
117,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.65,0.5,0.3,False,1,True,valid,-1.4175888,u,none,l1,0.0,20260810_225211_189362
152,k_clusters,global_smoothing,6654,0.32,1,0.65,0.35,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4177688,u,none,l1,0.0,20260810_232612_252472
88,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.45,0.25,0.25,False,1,True,valid,-1.4178098,u,none,l1,0.0,20260810_222359_493419
58,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.75,0.5,0.45,False,1,True,valid,-1.4179292,u,none,l2,0.0,20260810_215434_921754
123,k_clusters,global_smoothing,6654,0.38,1,0.6,0.25,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4179351,u,none,l2,0.0,20260810_225800_351276
166,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.85,0.05,0.1,False,1,True,valid,-1.4181732,u,none,l1,0.0,20260810_233951_116013
56,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.75,0.85,0.2,False,1,True,valid,-1.4181741,u,none,l1,0.0,20260810_215235_983258
9,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.85,0.05,0.2,False,1,True,valid,-1.418952,u,none,l2,0.0,20260810_210658_461207
87,k_clusters,global_smoothing,6654,0.45,1,0.65,0.45,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4190261,u,none,l2,0.0,20260810_222300_114542
